UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
𝐃𝐢𝐬𝐝𝐮𝐤𝐜𝐚𝐩𝐢𝐥 𝐊𝐚𝐛 𝐒𝐮𝐤𝐨𝐡𝐚𝐫𝐣𝐨,@disdukcapilskh,2024-02-08T13:57:22.000Z,"1. Untuk menyukseskan pemilu 2024, Dinas Dukcapil mengutamakan perekaman KTP-el bagi pemilih pemula dengan tetap tidak mengabaikan kelompok rentan;

2. Perekaman KTP-el pemula dilaksanakan bersamaan dengan instal dan aktivasi IKD sebelum memberikan alternatif lain seperti",1,,
kin walut,@KinWalut,2024-02-08T13:55:20.000Z,"Survei bayaran jagan di hirauka,  karena pemilu ditentukan rakyat bukan survei. Insya Allah AMIN 2024.",,,
Joe,@Lelucky_mu,2024-02-08T13:55:12.000Z,"Aneh pengaturan lokasi TPS Pemilu Tahun 2024 ini, bisa pula dapatnya jauh dari lokasi rumah saya.
Ah kimak kelen lah!!!!!",,,
ENFJLady,@ChemistryQueenF,2024-02-08T13:54:45.000Z,"KELAAAAASSSS BAAAT BELIAU EMANG
terlepas dari pemilu, aku bener2 kagum sm persona pak anies, dn juga sama pak tom sih,kereeen banget
Stuju sm kamu, biasanya yg nyinyir sih emg iri dan sirik nder. Kita fokus kawal pemilu aja yuk sm dukung capres keren kita  berkah ya",,,1
Juy,@Juyfordami,2024-02-08T13:51:20.000Z,"Ir. Soekarno: beri saya 10 pemuda maka akan ku guncangkan dunia.
Pemilu 2024 baru di kasih 1 pemuda jadi cawapres aja udah huru hara ",,,
Samsul Bahri,@dusrimulya,2024-02-08T13:40:07.000Z,"Tadinya Pemilu 2024 ini gua mau golput..dan males war di TL

Tapi semua berubah ketika ada yang menggunakan segala lini kekuasaan demi anak dan ponakan tersayang

Sejak saat itu gua putuskan #AsalBukanPrabowoGibran
#AsalBukanGibran",1,,4
#WalikotaKepanjen,@kepanjen_kita,2024-02-08T13:38:01.000Z,"Setelah semua rangkaian debat dan kampanye, di #pemilu2024 ini aku memutuskan memilih. . . .",1,,
#2024 Hilirisasi adalah Koentji,@cgtrisanjaya,2024-02-08T13:36:36.000Z,"Besok rilis di hari yang sama. 
Dua Polster Persepi.
@poltracking
 dan 
@indikatorcoid
.
Yang pengin pemilu gagal jangan menyimak.",,,
Taufik Al Mubarak,@almubarak,2024-02-08T13:35:09.000Z,"Masih ingat tagar #2019GantiPresiden yang dipopulerkan politisi PKS, Mardani Ali Sera? Rupanya, pada Pemilu 2024 gerakan beliau itu berhasil diwujudkannya, tapi cuma #2024GantiCapres. Dulu dukung Prabowo, sekarang dukung Anies #NoMention #nowplaying",1,,
gaya bebas,@cubitisme,2024-02-08T13:33:59.000Z,Yang udah beli bajunya pasti malu krn jadi produk gagal pemilu 2024,1,,
I Brought Three Weapon for the Black Parade Days,@mychemromcom,2024-02-08T13:32:47.000Z,"jgN"" iNi eLu mUch di msA dpN bLiau lGi sHifting DuNia pAraLel menJelanG pemiLu 2024 unTuk mnYlamAtKan iNdonesiA",1,,
pemantau_pemilu2024,@m_wildan78,2024-02-08T13:23:55.000Z,Jgn lupa jagain hasil perhitungan nya,,,
pemantau_pemilu2024,@m_wildan78,2024-02-08T13:23:06.000Z,"Ngga rilis hasil surpe nih pak??
Beneran??!",,,
4Golkar,@4_Golkar,2024-02-08T13:21:30.000Z,"Partai Golkar Menang
Rakyat Sejahtera

Insya Allah Menang Pemilu 2024

Ikan Sepat Ikan Selar Ikan Gabus
Nomor Empat Partai Golkar Paling Bagus",,,
RYFS,@RizkyYusufFern1,2024-02-08T13:20:44.000Z,Tendensius sekali. Harus dikawal benar2 pemilu 2024 supaya nggak mblesek lagi ke jurang keterpurukan negeri ini,,,1
Beliau,@ImanPatuy,2024-02-08T13:19:37.000Z,Capresmu sangat berpengalaman ... Berpengalaman ga kepilih beberap pemilu wkwkwkwk,,,
Barrack Oh Mama,@TripIrvan27403,2024-02-08T13:19:24.000Z,"Kita jangan sampai terlena euforia kampanye, Tau-tau ada yang diam-diam BERMAIN underground untuk memenangkan pemilu.

Waspadalah !!!

AMIN 2024",,,
Bawaslu Kab. Tasikmalaya,@bawaslukabtasik,2024-02-08T13:16:55.000Z,"mendukung calon tertentu. ""Pengalaman kita, tidak pernah ada hal yang menyebabkan tercorengnya Pemilu. Kami akan buktikan pada Pemilu 2024 di Kabupaten Tasikmalaya tidak ada pelanggaran,"" tegas Dodi.
.
.",1,,
Bawaslu Kab. Tasikmalaya,@bawaslukabtasik,2024-02-08T13:16:53.000Z,"pada Pemilu 2024
.
.
Dalam sambutannya, Ketua Bawaslu Kabupaten Tasikmalaya Dodi Juanda menyatakan bahwa apel siaga ini dimaksudkan untuk menunjukkan kesiapan pengawas pemilu. ""Kita akan mengawasi masa tenang kampanye yang berlangsung 11-13 Februari 2024.",1,,
Caahya Official,@caahya_official,2024-02-08T13:11:56.000Z,"Sukseskan Pemilu 2024, pilih amien-muhaimin",,,
FADLI ZON (Youtube: Fadli Zon Official),@fadlizon,2024-02-08T13:03:54.000Z,"Keempat, siap mengawal dan menjadi penengah umat untuk tidak terpancing oleh
issu-issu provokatif yang dapat merusak kedamaian seluruh proses pemilu
2024.",1,,1
FADLI ZON (Youtube: Fadli Zon Official),@fadlizon,2024-02-08T13:02:30.000Z,"Kedua, siap turun ke masyarakat untuk memberikan sosialisasi, edukasi, dan partisipasi dalam Pemilu 2024 terutama pemilihan Presiden dan Wakil Presiden.",2,,2
tempo.co,@tempodotco,2024-02-08T13:01:59.000Z,Mantan kader dari Partai Banteng itu mengingatkan agar Ahok bisa membaca zaman menjelang Pemilihan Umum atau Pemilu 2024.,1,,
Kawaki Otsusuki,@kawakiotsusuki_,2024-02-08T13:01:29.000Z,"hbsan, jaŕku, sesederhana bahasa, 49% suara org pintar bakal kalah lwn 51% suara org bodoh,
nah hari ini masyarakat kita minim edukasi politik dan pengetahuan realitas politik, dan pemilu 2024 kita disuruh menentukan presiden lwn cawapresnya aja, tapi serta lawan konsorsium",1,,
elfida Chaniago,@ElfidaChaniago,2024-02-08T12:54:52.000Z,"Mari sukseskan pemilu damai 2024 ..
Takbir......",,,
2024 bisa,@yzzxmine,2024-02-08T12:52:44.000Z,Maaf oot kakak2 ini pemilu pertamaku dan penasaran sistemnya. Buat pemilih nanti bakal dapet surat undangan kah buat ditukar kertas suara? Dapetnya h-berapa? Soalnya aku kaya buta bgt ngak tau alurnya gimana,7,,1
Ali Rizal,@MochAlirizal,2024-02-08T12:51:44.000Z,"Filingku kayaknya bener"" akan terjadi, tragedi 1998 akan terulang bahkan bisa jadi akan lebih fatal lagi, karna UU di obrak abrik, konstitusi di kebiri demi ambisi diri, 2024 adalah pemilu busuk yg pernah aku rasakan, dua priode yg aku banggakan ternyata SU'UL KHOTIMAH.",,,1
سالب الرياض 16,@salbkm7127,2024-02-08T12:49:30.000Z,"Mahasiswa ingin ciptakan dan siap kawal pemilu 2024 yang damai, aman, dan sejahtera supaya pemilu berjalan lanacr #PemilihMudahPemiluDamai",,,1
Kertas Lusuh,@lusuh_kertas,2024-02-08T12:49:23.000Z,#PemilihMudahPemiluDamai yuk dukung pemilu 2024 dan kawal terus untuk menuju Indonesia emas,,,
Geoo,@geovanisani,2024-02-08T12:49:21.000Z,"Mahasiswa, mari bersama-sama tingkatkan kesadaran politik kita untuk memprioritaskan persatuan dan kesatuan di atas segalanya. Pemilu 2024 adalah kesempatan besar untuk memperkuat silaturahim di tengah perbedaan politik. #PemilihMudahPemiluDamai",,,
ola,@ola1399465,2024-02-08T12:49:12.000Z,"Gunakan hak suara kalian di pemilu 2024 dengan bijak
#PemilihMudahPemiluDamai",,,
Kominfo DIY,@kominfodiy,2024-02-08T12:48:19.000Z,"Dikonfirmasi oleh KPU DIY, Undangan C tetap ada dan akan didistribusikan pada H-5 hingga maksimal H-1. 

Selengkapnya dapat dibaca melalui Facebook Kominfo DIY

#Pemilu2024
#PemiluJogjaDamai
#PemiluDamai2024
#PemiluKominfoDIY
#AyoAwasiBersama",,,
Siti Fatimah,@SitiFat62722929,2024-02-08T12:47:21.000Z,"Semoga pemilu 2024 ini bisa aman dan damai, walaupun beda pilihan dan tidak satu hati tapi kita tetap satu Indonesia
#PemilihMudahPemiluDamai",,,
Lia fadila,@LiaLia2404,2024-02-08T12:47:00.000Z,"Gimana ga semangat kalo aura kampanye pemilu 2024 se Heboh gini, inget debat capres cawapres yang seru banget dan tentunya ada nilai nilai yang bisa diambil dan kita amati untuk menentukan langkah dalam menyuarakan suara ketika pemilu 2024 besok.

#PemilihMudahPemiluDamai",,,
Atika ganda,@AtikaGanda4181,2024-02-08T12:46:50.000Z,"Ayo teman-teman anak muda teman-teman milenial teman-teman gen-Z ditunggu partisipasi kalian dalam pemilu 14 Februari 2024 mari kita tentukan bersama-sama pemimpin terbaik bangsa ini  
#PemilihMudahPemiluDamai",,,1
Delima rawan,@dedrawan47,2024-02-08T12:46:50.000Z,"Kawal terus pemilu 2024, Ganjarmahfud harus menang",,,
Giosaja,@giosaja29650,2024-02-08T12:46:20.000Z,"Ayo kita sukseskan jalannya pemilu tanggal 14 Februari tahun 2024 dengan menjaga perdamaian agar pemilu berjalan lancar, aman dan damai

#PemilihMudahPemiluDamai",,,
Dev_r4nd,@spiritgw12,2024-02-08T12:46:12.000Z,"Kita ikut kawal jalannya Pemilu 2024, supaya tercapai pemilu yang jurdil dan Pemilu yang damai #PemilihMudahPemiluDamai",,,
Shasya_,@SujikAnita97292,2024-02-08T12:45:49.000Z,"Anak muda harus ikut serta dalam pemilu 
Mari sukseskan pemilu 2024 dengan damai dan tetap jaga persatuan 
#PemilihMudahPemiluDamai pasti bisa",,,
Chello,@Chellonna,2024-02-08T12:44:49.000Z,Kita sebagai masyarakat bisa mendukung agar pemilu 2024 berjalan damai dan lancar #PemilihMudahPemiluDamai,,,
bolu papan,@BoluBima,2024-02-08T12:37:42.000Z,"awas jangan sampai ada kecurangan... kawal terus pemilu 2024, salam 3 jari",,,
anggi,@raed22544221,2024-02-08T12:34:31.000Z,mahasiswa serukan antusias pemilu 2024  #PemilihMudahPemiluDamai,,,
Alpha,@arupha_00,2024-02-08T12:34:23.000Z,"Tapi disaat skrg presiden itu bisa lepas dari bayang-bayang partai paling nyusahin itu, skrg pd bela partainya? Wkwkwk klo ada hastag asal jgn 02 gw mah asal jgn 03, mau lu pilih 1 atau 2. Buat gw inti hikmah pemilu 2024, partai merah itu dapet karmanya.",,,1
Meang,@ElsiSitume851,2024-02-08T12:33:12.000Z,"Kita sukseskan pemilu Tahun 2024 adalah tahun perubahan untuk bangsa Indonesia, pesta demokrasi besar yang menjadi saksi untuk Ganjar Pranowo dan Mahfud MD untuk maju dalam revolusi demokrasi.
#GanjarPresidenRakyat",1,,
Intan Permatasari,@IntanPe778,2024-02-08T12:32:49.000Z,#PemilihMudahPemiluDamai tahun 2024 pemilu tidak boleh golput,,,
Ahmadriadi,@Ahmadri7968659,2024-02-08T12:32:40.000Z,"Muda-mudi di manapun kalian berada yuk kita sukseskan bersama-sama kontestasi pemilu 2024 untuk menentukan satu pemimpin yang benar-benar layak memimpin bangsa dan negeri ini pilihlah dengan bijak menggunakan hati nurani
#PemilihMudahPemiluDamai",,,1
Meang,@ElsiSitume851,2024-02-08T12:32:12.000Z,"Sempat dulu berpikir pindah pilihan ke Paslon lain, tapi sekarang aku semakin yakin untuk mendukung 03 Ganjar Pranowo dan Mahfud MD dalam pemilu 2024.
#GanjarMahfudSatset",,,
ranran,@ranranrr34,2024-02-08T12:31:45.000Z,"kami siap mensukseskan pemilu 2024 ini dengan damai dan integritas
#PemilihMudahPemiluDamai",,,
Hamid,@Hamid468249,2024-02-08T12:31:36.000Z,"mahasisiswa serukan pemilu 2024 Damai,tentram,dan jaga persatuan & kesatuan
#PemilihMudahPemiluDamai",,,
Daniel Saka,@DanielSaka16527,2024-02-08T12:30:38.000Z,"Kita harus menjadi pemilih sehat dan cermat dalam menjaga kebersihan dan mensejahterakan Pemilu 2024
#PemilihMudahPemiluDamai",,,
fazri,@fazri160332,2024-02-08T12:30:31.000Z,Meriakan pemilu 2024 ini dengan kebahagian #PemilihMudahPemiluDamai,,,
INTAN,@INTAN_SEORANG,2024-02-08T12:30:28.000Z,2024 saatnya kita ciptakan pemilu yang bersih dan damai. #PemilihMudahPemiluDamai,,,
Cheung Daniyal,@dani_niyal,2024-02-08T12:30:26.000Z,"Jooss KPU serukan pemilu 2024
Untuk calon #PemilihMudahPemiluDamai",,,
kayla,@jerukmedan68633,2024-02-08T12:29:23.000Z,mari sukseskan bersama pemilu 2024 menjadi pemilu #PemilihMudahPemiluDamai,,,
Nay Nay,@nay109487,2024-02-08T12:28:27.000Z,"Jaga pemilu damai. 
#PemilihMudahPemiluDamai 
Ayo datang ke TPS mari sukseskan pemilu 2024 ",,,
sylaaaa,@sylaxan,2024-02-08T12:27:15.000Z,ayo sukseskan pemilu 2024 menjadi pemilu yang damai #PemilihMudahPemiluDamai,,,
