UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
#PolitikUang2024,@mus_theib,2024-02-16T07:46:44.000Z,ANOEMALI pemilu2024,,,
Bangsa Indonesia,@Bangsaindo_,2024-02-16T07:46:25.000Z,"Aparat Keamanan siap untuk menjaga penyelenggaraan Pemilu 2024 di Papua sehingga masyarakat Papua dapat memberikan hak suaranya dengan aman di TPS terdekat
#papuaindonesia #pemilupapua #pemilupapuadamai #Papuabangkit #papuadamai #Papuakondusif",,,1
Arif Zulkifar,@arif_zulkifar5,2024-02-16T07:46:23.000Z,"Kita adalah satu keluarga, mari jaga keharmonisan dalam Pemilu 2024.",,,
Pena Lurus,@Moekhlis69,2024-02-16T07:46:15.000Z,Pemilu 2024 adalah Mengalahkan jokowi...bukan prabowo,,,
Humas Polsek Petir,@PolsekPetir_TJ,2024-02-16T07:46:11.000Z,"Kapolres Serang mengucapkan terima kasih dan penghargaan kepada seluruh Petugas pengamanan Pemilu 2024 atas dedikasinya sehingga penyelenggaraan Pemilu 2024 di Darkum Polres Serang berjalan dengan aman dan kondusif.

#pemiludamai 
#polripresisi",,,
Humas439.id,@Humas439,2024-02-16T07:45:58.000Z,"Personel Satgas Preventif K9 Polda Kaltim Kontrol di Posko Pengamanan Pemilu 2024 di Kantor KPU Kota Balikpapan
.
#OpsMantapBrata2024 #PolrestaBalikpapan #PoldaKaltim #PolriPresisi #KamiHumasPolri #Humas439",,,
Ratna Palastri,@PalastriRatna,2024-02-16T07:45:55.000Z,"pengawalan demokrasi dapat menjadi dorongan besar bagi kesadaran kolektif akan pentingnya transparansi, kejujuran, dan keadilan dalam proses politik #arsjadrasjid #pemilu2024 #inklusifkolaboratif ketua kadin",,,
KandyCashel,@KandyCashel,2024-02-16T07:45:53.000Z,"Mari jaga tahun politik ini tanpa isu SARA dan hoaks
#Pemilu2024 
#PemiluDamai2024
#PemiluDamaiNegeriMaju
#Pemilu2024BebasHoaks
#Pemilu2024MenujuIndonesiaMaju",,,
Syahrul Tp,@SyahrulTp33259,2024-02-16T07:45:51.000Z,"*Majelis Adat Aceh Ajak Semua Pihak Kembali Bersatu Usai Pemilu 2024*

Jakarta - Majelis Adat Aceh (MAA) mengajak seluruh komponen masyarakat untuk kembali bersatu seiring selesainya pemungutan suara pada Pemilihan Umum (Pemilu) 2024.",,,
mikirdoeloe,@mikirdoeloe,2024-02-16T07:45:46.000Z,Mari kita ciptakan kondisi yang aman dan damai pascapemungutan suara dalam Pemilu 2024. Hormati proses perhitungan suara yang sedang berlangsung agar berjalan lancar dan kondusif.,,,
sekata.id,@sekatabikintau,2024-02-16T07:45:43.000Z,"Polisi mengungkapkan kasus pembacokan terhadap seorang Ketua KPPS pada pemungutan suara pemilu 2024 di Kabupaten Tabalong bukanlah karena perkara uang.

#sekataid #bikintau #infotabalong

https://sekata.id/bukan-perkara-uang-ternyata-ini-alasan-pelaku-bacok-ketua-kpps-di-tabalong/…",,,
mikirdoeloe,@mikirdoeloe,2024-02-16T07:45:39.000Z,Mari kita ciptakan kondisi yang aman dan damai pascapemungutan suara dalam Pemilu 2024. Hormati proses perhitungan suara yang sedang berlangsung agar berjalan lancar dan kondusif.,,,
Kompas Muda,@kompasmuda,2024-02-16T07:45:20.000Z,Petugas Kelompok Penyelenggara Pemungutan Suara di Malang dan Probolinggo meninggal usai bertugas dalam Pemilu 2024. #Nusantara #AdadiKompas,,,
