UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
zri,@zrrrrryll,2024-02-09T13:35:48.000Z,"“…hanya punya doa, tidak punya paman di MK” 
“…baru di pemilu 2024 ini membicarakan NETRALITAS” 

negara demokrasi bukan KOMUNIKASI antar KELUARGA",1,,
Denny Arisman,@dennyarisman,2024-02-09T13:33:53.000Z,"Pemilu 2024 sdh bisa ditebak arahnya, merupakan template dr pemilu 2019. Survey dirilis habis2an utk membentuk persentase opini sehingga nanti hasil yg dikeluarkan KPU & quick count pro 02 selaras dgn survey2 yg telah beredar. Tp kali ini akan beda hasilnya krn kontestan ada 3.",,,
Rama,@RamsDews,2024-02-09T13:33:08.000Z,"Kalau 02 menang, lembaga seperti Greenpeace, Walhi, Kontras dan sejenis lainnya kemungkinan tdk akan pernah didengar dan mungkin bs dibungkam 

#Pemilu2024 #AsalBukan02",,,
Adhitya Restu,@adhityarestu10,2024-02-09T13:22:35.000Z,"setelah melihat riwehnya pemilu 2024, ternyata di pemilu 2019 aku lumayan hebat ya bisa jadi saksi sendirian di usia 19 tahun tanpa partner di tempat orang tak dikenal lagi.",,,
Eye Indonesia,@EyeIndonesia,2024-02-09T12:57:31.000Z,"1. Pemilih pemula, penting untuk kita semua memahami visi, misi, dan integritas calon pemimpin kita. Jangan ragu untuk mencari informasi, bertanya, dan memilih dengan hati nurani yang penuh pertimbangan. Suara kita memiliki kekuatan! #PemilihPemula #Pemilu2024",,,
pump,@democrazzyyy,2024-02-09T12:44:36.000Z,Ya Allah.. aku memohon kepadamu.. semoga pemilu tahun 2024 tidak ada kecurangan..,,,1
Yayat,@Dyria4,2024-02-09T12:26:41.000Z,"Kalau Ahli Hukum tidak merasa tersinggung karena pelanggaran Hukum sebaiknya Dia jadi Tukang sapu jalanan. 

-Pramoedya Ananta Toer-

#PelanggaranEtikBerat #Anispresiden #Pemilu2024 #AniesMuhaimin2024 #AniesFinalstage #Muhaimin",,,
Kades Jerman Barat,@marioledesman,2024-02-09T12:22:58.000Z,"Kabar baik : 
""Jokowi ingatkan ASN, TNI, Polri dan BIN untuk bersikap netral pada pemilu 2024 ini"".

Kabar buruk :
Yang ngomong Jokowi.",,,
Rama,@RamsDews,2024-02-09T12:19:34.000Z,"Permasalahannya adalah ketika semua yang mengkritik dianggap bayaran oleh pendukungnya …

#Pemilu2024 #AsalBukanPrabowoGibran #AsalBukan02",,,
Kjkjkj,@Kjkjkj00862872,2024-02-09T12:16:58.000Z,"14 februari 2024

Pemilu 2024
Imlek 2024 
Valentine 2024

dan lu ga ada progress apa apa :)",,,
Febri Rizki Kurniawan,@Febri_Rizkick,2024-02-09T12:16:47.000Z,"Selain banyaknya polemik dan pelanggaran2 yang dilakukan masing2 paslon dalam berkampanye, saya hanya ingin mereview Program2 yang ""Kureng"" Menurut saya Pribadi dari masing2 paslon Capres 2024,sebagai berikut: (thread)
#Pemilu2024 #injurytimepemilu #election2024",3,,
Putra Mahkota Majapahit,@fadlanrizqi10,2024-02-09T11:59:39.000Z,"Biarkan bunga-bunga demokrasi mekar nan wangi. Biarkan semua suara bermuara pada setiap arahnya, jika suara adalah kebebasan maka biar ia bebas terbang pada keinginan yang dimiliki. Suara demokrasi kini terdengar lagi, jaga hati jaga negeri jangan saling caci maki.

#Pemilu2024",,,
cinggaro®,@cinggaro,2024-02-09T11:53:23.000Z,"pertarungan seru antara polster versus parpol yang kampanye di grassroots.

siapa bakal menang?

#Pilpres2024
#Pemilu2024",,,
echa stress kid era,@sukaAbin,2024-02-09T11:44:32.000Z,Asas pemilu di tahun 2024 sepertinya sudah hilang,,,1
ariela,@pretzellaaa,2024-02-09T11:42:29.000Z,"when pemilu ends, im gonna miss tim penguin nasional and aniesbubble so much  those 2 really made 2024 pemilu so fun and enjoyable  smoga siapapun pemenangnya, akunnya tetep continue ya huhu sayang bgt kalo ditinggal gitu aja ",,,
Kabut Halim,@denbagushari,2024-02-09T11:41:23.000Z,"PENGUMUMAN GAK PENTING

1. setelah menimbang-nimbang, gue dan keluarga memutuskan untuk memilih capres dan cawapres 02 untuk memimpin NKRI 5 tahun kedepan, kita berharap Indonesia yg sudah on track ke arah kemajuan bisa dilanjutkan dan ditingkatkan. #Pemilu2024",6,3,6
yah.,@negyeote,2024-02-09T11:33:07.000Z,Kayaknya gue jd kaum minoritas di pemilu 2024 ini deh,,,
uncle dee,@roes_anggana,2024-02-09T11:20:05.000Z,"""Apapun pilihannya, tetap ingat kita semua bersaudara...""

uncle dee QUOTES

#uncledee #uncledeeQUOTES #uncledeeSTORY #kampanye  #Pemilu2024 #PemiluHarusAdem #Pemilu2024AmanDamai #PemiluDamai2024 #Pemilu2024BebasHoaks",,,1
uncle dee,@roes_anggana,2024-02-09T11:19:11.000Z,"""Semoga besok tetap tertib dan lancar segalanya...""

uncle dee QUOTES

#uncledee #uncledeeQUOTES #uncledeeSTORY #kampanye  #Pemilu2024 #PemiluHarusAdem #Pemilu2024AmanDamai #PemiluDamai2024 #Pemilu2024BebasHoaks",,,1
07:03,@703puma,2024-02-09T11:18:36.000Z,"Kampanye Paslon 01, 02, 03 pada rame karena efek libur? #Pemilu2024",,,
uncle dee,@roes_anggana,2024-02-09T11:16:14.000Z,"""Alhamdulillah besok sudah masuk kampanye hati terakhir. Saatnya masuk minggu tenang...""

uncle dee QUOTES

#uncledee #uncledeeQUOTES #uncledeeSTORY #kampanye #Pemilu2024 #PemiluHarusAdem #Pemilu2024AmanDamai #PemiluDamai2024 #Pemilu2024BebasHoaks",,,1
Faktacom,@faktacom_,2024-02-09T11:15:00.000Z,"Puncak kampanye akbar terakhir akan berlangsung pada tanggal 10 Februari  2024. 

Pada hari itu, paslon nomor urut 1 dijadwalkan berkampanye di JIS. Sementara paslon nomor urut 2 akan berkampanye di GBK. Sedangkan paslon nomor urut 3 akan berkampanye di Semarang.

#Pemilu2024",22,26,25
AJ Susmana,@Susmana,2024-02-09T10:56:52.000Z,"Kesabaran menjadi kunci berdemokrasi di hari-hari ini karena demokrasi atau praktik berdemokrasi benar-benar diuji.  Dalam hitungan hari, Pemilu 2024 akan berakhir.  Presiden dan Wakil Presiden baru pun dilahirkan.",1,1,1
bluesky • kinda ia,@justberespect__,2024-02-09T10:47:11.000Z,"Pemilu 2024 bobrok bgt 
Kok sy jd mellow gni ngrasa sdih aja",,,
aa,@legityoungman,2024-02-09T10:45:12.000Z,"beras kulen sekarung udah 400rb anjeerrrr, pemerintah tolong turunkan harga pangaannn
#Pemilu2024",,,
KPU Kabupaten Langkat,@KPU_KABLANGKAT,2024-02-09T10:36:21.000Z,"membersihkan alat peraga kampanye sebelum memasuki masa tenang, 11 – 13 Februari 2024. Selain itu peserta pemilu juga dilarang melaksanakan kampanye dalam metode apapun sebagaimana ketentuan dalam peraturan perundang-undangan.

#KPUMelayani 
#pemiluserentak2024 
#kpukablangkat",,,
cooles mädchen,@twinteryu,2024-02-09T10:11:44.000Z,Coblos 03 dan menangkan Ganjar M3nang Total di pemilu 2024! #YakinPilihGanjar,,,
